thickness = 2.5
  0.000    2.676
  0.877    2.676
  0.877    3.134
  0.000    3.134
  0.000    2.676
next
  1.885    1.364
  2.021    1.364
  2.021    2.106
  1.885    2.106
  1.885    1.364
next
  1.933    2.511
  2.698    2.511
  2.698    2.555
  1.933    2.555
  1.933    2.511
next
  2.786    1.845
  2.867    1.845
  2.867    2.577
  2.786    2.577
  2.786    1.845
next
  2.904    2.071
  3.287    2.071
  3.287    2.572
  2.904    2.572
  2.904    2.071
next
  0.880    2.525
  1.790    2.525
  1.790    3.457
  0.880    3.457
  0.880    2.525
next
  1.475    0.012
  2.279    0.012
  2.279    0.659
  1.475    0.659
  1.475    0.012
next
  2.608    1.919
  2.749    1.919
  2.749    2.373
  2.608    2.373
  2.608    1.919
next
  0.082    0.000
  1.061    0.000
  1.061    0.444
  0.082    0.444
  0.082    0.000
next
  0.013    1.468
  0.869    1.468
  0.869    2.395
  0.013    2.395
  0.013    1.468
next
  1.826    2.389
  2.757    2.389
  2.757    2.509
  1.826    2.509
  1.826    2.389
next
  0.096    0.444
  0.857    0.444
  0.857    0.716
  0.096    0.716
  0.096    0.444
next
  0.977    0.721
  1.496    0.721
  1.496    1.572
  0.977    1.572
  0.977    0.721
next
  0.006    0.718
  0.753    0.718
  0.753    1.466
  0.006    1.466
  0.006    0.718
next
  0.761    2.412
  1.657    2.412
  1.657    2.499
  0.761    2.499
  0.761    2.412
next
  0.872    2.172
  1.790    2.172
  1.790    2.393
  0.872    2.393
  0.872    2.172
next
  0.932    1.573
  1.565    1.573
  1.565    2.161
  0.932    2.161
  0.932    1.573
next
  2.039    1.642
  2.279    1.642
  2.279    2.210
  2.039    2.210
  2.039    1.642
next
  0.044    2.395
  0.738    2.395
  0.738    2.676
  0.044    2.676
  0.044    2.395
next
  2.290    1.608
  2.605    1.608
  2.605    2.184
  2.290    2.184
  2.290    1.608
next
  2.105    3.328
  2.777    3.328
  2.777    3.333
  2.105    3.333
  2.105    3.328
next
  2.281    0.006
  2.609    0.006
  2.609    0.985
  2.281    0.985
  2.281    0.006
next
  2.908    3.298
  3.311    3.298
  3.311    3.465
  2.908    3.465
  2.908    3.298
next
  0.920    0.575
  1.358    0.575
  1.358    0.718
  0.920    0.718
  0.920    0.575
next
  1.791    2.584
  2.755    2.584
  2.755    3.319
  1.791    3.319
  1.791    2.584
next
  2.809    0.001
  3.319    0.001
  3.319    0.078
  2.809    0.078
  2.809    0.001
next
  0.961    0.543
  1.436    0.543
  1.436    0.569
  0.961    0.569
  0.961    0.543
next
  0.022    0.316
  0.080    0.316
  0.080    0.712
  0.022    0.712
  0.022    0.316
next
  0.592    3.141
  0.875    3.141
  0.875    3.376
  0.592    3.376
  0.592    3.141
next
  0.754    0.731
  0.971    0.731
  0.971    1.397
  0.754    1.397
  0.754    0.731
next
  2.977    1.864
  3.362    1.864
  3.362    2.065
  2.977    2.065
  2.977    1.864
next
  2.645    0.948
  2.871    0.948
  2.871    1.784
  2.645    1.784
  2.645    0.948
next
  2.626    0.420
  3.361    0.420
  3.361    0.937
  2.626    0.937
  2.626    0.420
next
  2.277    1.009
  2.626    1.009
  2.626    1.316
  2.277    1.316
  2.277    1.009
next
  2.003    0.660
  2.272    0.660
  2.272    1.299
  2.003    1.299
  2.003    0.660
next
  2.339    1.321
  2.634    1.321
  2.634    1.605
  2.339    1.605
  2.339    1.321
next
  1.077    0.425
  1.193    0.425
  1.193    0.525
  1.077    0.525
  1.077    0.425
next
  2.024    1.317
  2.306    1.317
  2.306    1.389
  2.024    1.389
  2.024    1.317
next
  0.028    3.134
  0.590    3.134
  0.590    3.466
  0.028    3.466
  0.028    3.134
next
  2.610    0.080
  3.370    0.080
  3.370    0.418
  2.610    0.418
  2.610    0.080
next
  1.067    0.010
  1.475    0.010
  1.475    0.423
  1.067    0.423
  1.067    0.010
next
  2.878    1.023
  3.365    1.023
  3.365    1.862
  2.878    1.862
  2.878    1.023
next
  2.758    2.609
  3.283    2.609
  3.283    3.291
  2.758    3.291
  2.758    2.609
next
  1.826    2.220
  2.526    2.220
  2.526    2.385
  1.826    2.385
  1.826    2.220
next
  2.044    1.421
  2.279    1.421
  2.279    1.623
  2.044    1.623
  2.044    1.421
next
  3.295    2.254
  3.367    2.254
  3.367    3.149
  3.295    3.149
  3.295    2.254
next
  2.034    3.340
  2.842    3.340
  2.842    3.458
  2.034    3.458
  2.034    3.340
next
  1.568    1.283
  1.871    1.283
  1.871    2.170
  1.568    2.170
  1.568    1.283
next
  1.813    3.336
  1.983    3.336
  1.983    3.427
  1.813    3.427
  1.813    3.336
next
  1.498    0.661
  2.002    0.661
  2.002    1.271
  1.498    1.271
  1.498    0.661
next
color = 3
  0.000    0.000
  3.370    0.000
  3.370    3.466
  0.000    3.466
  0.000    0.000
next
