        0,  55.13179
      400,  21.59507
      800,  21.44995
     1200,  19.10955
     1600,  18.09317
     2000,  17.51892
     2400,  16.48187
     2800,  16.44871
     3200,  15.88870
     3600,  15.17101
     4000,  14.90562
     4400,  14.69709
     4800,  14.38967
     5200,  14.25657
     5600,  14.09870
     6000,  14.00674
     6400,  13.93734
     6800,  13.90125
     7200,  13.88884
     7600,  13.83700
     8000,  13.77291
     8400,  13.73991
     8800,  13.68393
     9200,  13.63346
     9600,  13.60592
    10000,  13.58925
    10400,  13.56148
    10800,  13.53419
    11200,  13.52274
    11600,  13.48318
    12000,  13.42381
    12400,  13.42337
    12800,  13.40721
    13200,  13.39482
    13600,  13.39482
    14000,  13.38723
    14400,  13.38585
    14800,  13.38206
    15200,  13.38206
    15600,  13.37810
    16000,  13.37461
    16400,  13.36807
    16800,  13.36650
    17200,  13.35967
    17600,  13.35967
    18000,  13.35023
    18400,  13.34773
    18800,  13.34773
    19200,  13.34203
    19600,  13.34148
    20000,  13.34148
    20400,  13.33760
    20800,  13.33760
    21200,  13.33728
    21600,  13.33224
    22000,  13.33218
    22400,  13.33218
    22800,  13.33218
    23200,  13.32373
    23600,  13.32241
