        0,  54.02271
      400,  21.50782
      800,  18.69302
     1200,  17.99124
     1600,  18.02773
     2000,  17.32469
     2400,  16.63647
     2800,  15.86540
     3200,  15.20157
     3600,  14.87698
     4000,  14.22108
     4400,  13.82272
     4800,  13.69077
     5200,  13.59993
     5600,  13.46271
     6000,  13.39441
     6400,  13.26503
     6800,  13.19289
     7200,  13.13414
     7600,  13.12927
     8000,  13.12412
     8400,  13.10475
     8800,  13.09503
     9200,  13.05636
     9600,  13.04735
    10000,  12.98326
    10400,  12.96871
    10800,  12.88741
    11200,  12.80752
    11600,  12.75179
    12000,  12.73631
    12400,  12.69126
    12800,  12.65476
    13200,  12.63087
    13600,  12.59298
    14000,  12.57079
    14400,  12.53318
    14800,  12.52032
    15200,  12.51051
    15600,  12.49688
    16000,  12.46012
    16400,  12.45730
    16800,  12.45658
    17200,  12.45103
    17600,  12.44867
    18000,  12.43815
    18400,  12.43815
    18800,  12.43258
    19200,  12.42387
    19600,  12.41104
    20000,  12.40081
    20400,  12.39851
    20800,  12.39241
    21200,  12.39241
    21600,  12.38949
    22000,  12.38949
    22400,  12.38450
    22800,  12.38287
    23200,  12.38287
    23600,  12.38287
